site,short_name,nox_n_mn,nox_n_sd,nox_n_n,nox_n_md,nox_n_iqr,nox_n_p90,nox_n_gm,nh4_n_mn,nh4_n_sd,nh4_n_n,nh4_n_md,nh4_n_iqr,nh4_n_p90,nh4_n_gm,din_mn,din_sd,din_n,din_md,din_iqr,din_p90,din_gm,on_mn,on_sd,on_n,on_md,on_iqr,on_p90,on_gm,tn_mn,tn_sd,tn_n,tn_md,tn_iqr,tn_p90,tn_gm
P7CBI,Clapboard Island,0.011266666666666666,0.011937650522611221,9,0.01,0.01,0.02785999999999999,0.006419052880780902,0.025500000000000002,0.01886796226411321,8,0.0205,0.034249999999999996,0.05,0.018783843321249494,0.0337625,0.019247110172698655,8,0.0325,0.031725,0.054400000000000004,0.027810630875156006,0.1716125,0.0539793727137638,8,0.17099999999999999,0.062,0.22226999999999997,0.1647690424021,0.2249306372725,0.07333813624089706,16,0.19837728144,0.06867430760749998,0.27924212046499997,0.216051234013078
EEB18,East End Beach,0.027473913043478262,0.01886972605166334,23,0.0214,0.027200000000000002,0.056400000000000006,0.020893942547311792,0.027,0.02033961651555899,21,0.017,0.021,0.061,0.021101684431997118,0.05461428571428571,0.030322339713720736,21,0.0474,0.04440000000000001,0.093,0.045939131006673815,0.26289285714285715,0.15541282228204445,14,0.2082,0.13195,0.5055100000000002,0.23074500992998712,0.31185185525652176,0.13322363224158945,23,0.25313371029,0.12497242324500002,0.451,0.29095759366795865
P6FGG,Fort Gorges,0.02179,0.016566730382171237,10,0.01995,0.01205,0.03311999999999999,0.01638479078909499,0.02225,0.02063111381246435,8,0.013000000000000001,0.015500000000000002,0.047799999999999995,0.016467085289802057,0.0438,0.036613151423263976,8,0.03425,0.015024999999999997,0.07649999999999998,0.03479707583818378,0.240325,0.0429353916616916,8,0.2385,0.047650000000000026,0.29847,0.23699597665021194,0.293596298555625,0.08415523439453709,16,0.26923495045,0.11034840655249997,0.38,0.28334024653204326
CBPR,Presumpscot Mouth,0.029717391304347827,0.017938978692270614,23,0.024,0.029949999999999997,0.05650000000000001,0.024492915692096183,0.023428571428571427,0.01767079915728609,21,0.016,0.023,0.042,0.017824115684706425,0.05193333333333333,0.030452066158691653,21,0.046,0.04590000000000001,0.0862,0.04432958446075923,0.22662307692307693,0.09250478504601942,13,0.2284,0.07819999999999999,0.28538,0.20988370429133807,0.2747647623588,0.0887484925613966,25,0.274,0.12200000000000003,0.357480038386,0.26108030893152173
FR09,Fore River 9,0.02425,0.018477624821594874,22,0.01895,0.029974999999999998,0.052100000000000014,0.017066367066834377,0.02325,0.01864876177630766,20,0.0135,0.02824999999999999,0.050600000000000006,0.016883575300164,0.046965,0.03294749052020422,20,0.03265,0.05277500000000001,0.08920000000000002,0.036005645374316,0.24437692307692307,0.08294641999353311,13,0.2369,0.11800000000000002,0.34299999999999997,0.22866603137213204,0.30453573548681817,0.12204695191818908,22,0.2925,0.13108261378,0.3889,0.2857320663621172
BMR02,B&m Railroad,0.027104545454545454,0.019402711574679876,22,0.0223,0.030350000000000002,0.05148000000000002,0.01921366578908618,0.0245,0.01612941086143081,20,0.0185,0.019749999999999997,0.04500000000000001,0.020370689185740462,0.050965,0.03041476917897827,20,0.04325,0.05027499999999999,0.08390000000000004,0.042046690510642665,0.31396666666666667,0.2200767483209327,12,0.30145,0.13665,0.38660000000000005,0.2639325980206446,0.32954235991565217,0.1818242732422199,23,0.303,0.16672967862999996,0.4176,0.29897547672515995
PR-28,Presumpscot 28,0.04807391304347826,0.02580127229758085,23,0.047,0.0364,0.0843,0.03971919886324637,0.041761904761904764,0.027438849760703824,21,0.036,0.038,0.078,0.033401498674669135,0.08871904761904761,0.04392009356829308,21,0.09,0.047899999999999984,0.14300000000000002,0.07516066392188094,0.2312846153846154,0.08787038604438781,13,0.24200000000000002,0.11410000000000003,0.33246000000000003,0.214741049967792,0.3166157807196,0.0904854100563741,25,0.31555733772,0.12976599826000002,0.43391684048,0.30415522345070656
PRV70,Walton Park,0.10604545454545454,0.03184242045227938,22,0.1145,0.043325,0.1406,0.10041609619946948,0.078,0.05303637565725191,22,0.064,0.06875,0.123,0.061019874899350714,0.18404545454545454,0.07390455058656806,22,0.19485,0.117,0.2594,0.16919612300728112,0.17362,0.08387334158462645,15,0.147,0.127,0.27312000000000003,0.14855790856905368,0.39518407421125,0.18258380919236405,24,0.3405,0.11950000000000005,0.545969741215,0.36822203397371284
PR-17,Presumpscot 17,0.08403478260869565,0.02463935522871807,23,0.091,0.0379,0.1094,0.07955644289743469,0.0669090909090909,0.03369881881624918,22,0.057999999999999996,0.020250000000000004,0.11170000000000004,0.06066906645713587,0.14967272727272726,0.04346570823313238,22,0.1505,0.05779999999999999,0.20056000000000002,0.14380474057322362,0.28765,0.15426737902346443,14,0.24259999999999998,0.15822500000000003,0.41800000000000004,0.25407171641245774,0.4423441417632,0.14978768391268105,25,0.403,0.18813085010999997,0.582468958952,0.4198701796510548
